id	name	domain	sub	tier	tgt	heat	sig_date	sig_score	sig_cnt	owner
297969950446	6G AI Sweden	6g.ai	AI Infrastructure providers - 	tier_1		Cold				159350430
298005835458	AceCloud	acecloud.ai	AI Infrastructure providers - 	tier_1		Cold				159350430
314337129201	Aethir	aethir.com	Large Scale GPU - Neocloud	tier_1	T	Cold				159350430
314347194071	Aion	aion.xyz	Large Scale GPU - Neocloud	tier_1		Cold				162339176
316007524065	Akash Network	akash.network	Large Scale GPU - Neocloud	tier_1		Cold				162339176
303445636824	Aleria AI	aleria.ai	AI Infrastructure providers - 	tier_1		Cold				159350430
323259815670	Andromeda	andromeda.ai	AI Infrastructure providers - 	tier_2	T	Cold				162339176
297960965846	Anyscale	anyscale.com	AI Infrastructure providers - 	tier_1		Cold				162339176
239751073471	Applied Digital	applieddigital.com	Crypto to AI - Neoclouds	tier_1	T	Hot	2026-05-29	33	2	162339176
311400162028	Arc Compute	arccompute.io	AI Infrastructure providers - 	tier_1		Cold				159350430
326646278880	Assembly	assembly.nl	Sovereign AI Clouds - Neocloud	tier_1		Cold				159350430
303409448696	Atlas Cloud AI	atlascloud.ai	AI Infrastructure providers - 	tier_1		Cold				162339176
297936669377	BentoCloud	bentoml.com	Tier 1 Inference - Neocloud	tier_2		Cold				162339176
326712100572	Bit Digital	bit-digital.com	Crypto to AI - Neoclouds	tier_1		Cold				161889085
240442367678	Bitdeer Technologies	bitdeer.com	Crypto to AI - Neoclouds	tier_1		Cool	2026-03-30	18	1	159350430
298005835457	Bitfarms	bitfarms.com	Crypto to AI - Neoclouds	tier_1	T	Warm	2026-06-04	27	1	159350430
326672272092	Bitzero	bitzero.com	Crypto to AI - Neoclouds	tier_1		Warm	2026-05-05	27	1	159350430
264601327291	Blockfusion	blockfusion.com	Crypto to AI - Neoclouds	tier_1	T	Cold				161889085
326715722488	Boost Run	boostrun.com	Sovereign AI Clouds - Neocloud	tier_1	T	Cold				161889085
326719330033	BUZZ HPC	buzzhpc.ai	Sovereign AI Clouds - Neocloud	tier_1	T	Cold				159350430
300347451125	Cassava Technologies	cassavatechnologies.com	AI Infrastructure providers - 	tier_1		Cool	2026-03-18	18	1	159350430
296850118389	Cipher Mining	ciphermining.com	Crypto to AI - Neoclouds	tier_1	T	Cool	2026-03-25	18	1	161889085
317271861986	Cirrascale Cloud Services	cirrascale.com	AI Infrastructure providers - 	tier_1	T	Cold				162339176
303405064913	Civo	civo.com	Sovereign AI Clouds - Neocloud	tier_1	T	Cold				159350430
